id,name,age,city,country,salary,bonus,department,role,experience_years,status,is_remote,rating,projects_count,email,created_at,updated_at
1,Anna,38,Riga,Estonia,110247,3092,HR,middle,2.1,on_leave,False,1.65,6,user1@example.com,2022-02-25,2022-05-04
2,Boris,38,Kazan,Estonia,128243,18949,Marketing,senior,12.1,inactive,True,4.8,20,user2@example.com,2020-01-31,2020-11-14
3,Anna,34,Kazan,Estonia,119452,8738,Sales,middle,13.1,on_leave,True,4.46,19,user3@example.com,2024-01-01,2024-12-05
4,Anna,49,Riga,Russia,79918,29293,IT,junior,1.3,inactive,True,1.92,1,user4@example.com,2020-09-20,2021-03-22
5,Pavel,35,Moscow,Latvia,95033,25367,Sales,junior,9.5,inactive,False,4.74,5,user5@example.com,2022-08-02,2023-02-21
6,Sergey,24,Riga,Estonia,73778,3017,IT,lead,1.9,inactive,True,4.06,8,user6@example.com,2022-07-01,2023-04-05
7,Boris,56,Tallinn,Estonia,46671,5279,HR,senior,13.9,inactive,False,3.23,3,user7@example.com,2022-06-19,2023-01-04
8,Olga,52,Riga,Russia,94806,17706,Marketing,junior,8.8,inactive,False,3.91,19,user8@example.com,2023-03-04,2023-03-25
9,Boris,45,Tallinn,Estonia,63616,1616,HR,junior,5.6,on_leave,True,1.18,10,user9@example.com,2021-01-26,2021-12-05
10,Anna,40,Kazan,Estonia,113139,14229,Sales,senior,12.5,inactive,True,1.38,11,user10@example.com,2022-08-13,2023-07-13
11,Nina,34,Moscow,Russia,138489,13676,Marketing,senior,1.2,on_leave,False,3.62,12,user11@example.com,2022-12-07,2023-07-05
12,Pavel,28,Tallinn,Estonia,99465,17711,IT,junior,7.4,inactive,True,4.49,14,user12@example.com,2022-08-11,2023-05-30
13,Galya,60,Saint Petersburg,Latvia,102808,28021,Sales,middle,15.0,active,False,1.17,2,user13@example.com,2020-08-25,2021-04-11
14,Nina,54,Moscow,Latvia,60334,12191,Sales,middle,4.6,on_leave,False,3.37,20,user14@example.com,2022-06-29,2023-01-31
15,Sergey,54,Moscow,Estonia,113641,28177,HR,lead,1.3,inactive,False,2.16,20,user15@example.com,2022-11-15,2023-11-10
